date,site_number,data_filepath
2017-07-01,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-01.tif
2017-07-02,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-07-02.tif
2017-07-04,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-07-04.tif
2017-07-05,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-07-05.tif
2017-07-06,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-07-06.tif
2017-07-07,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-07.tif
2017-07-08,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-07-08.tif
2017-07-09,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-07-09.tif
2017-07-11,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-07-11.tif
2017-07-13,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-07-13.tif
2017-07-14,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-14.tif
2017-07-15,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-15.tif
2017-07-16,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-16.tif
2017-07-17,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-07-17.tif
2017-07-18,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-07-18.tif
2017-07-20,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-07-20.tif
2017-07-21,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-07-21.tif
2017-07-22,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-07-22.tif
2017-07-23,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-07-23.tif
2017-07-24,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-24.tif
2017-07-25,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-07-25.tif
2017-07-27,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-07-27.tif
2017-07-29,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-29.tif
2017-07-30,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-07-30.tif
2017-07-31,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-07-31.tif
2017-08-01,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-08-01.tif
2017-08-02,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-08-02.tif
2017-08-03,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-08-03.tif
2017-08-05,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-08-05.tif
2017-08-06,873,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_873_2017-08-06.tif
2017-08-07,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-08-07.tif
2017-08-08,888,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_888_2017-08-08.tif
2017-08-09,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-08-09.tif
2017-08-10,887,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_887_2017-08-10.tif
2017-08-12,876,../../datasets/satellite_raster_data/All/land_surface_temperature_Veg_US_Crop_876_2017-08-12.tif
